type,title,description,qualifications,postedQuarter,postedDate,is_suitable
Full Time,"Fulltime - Senior Manager, Document Processing Services, Outbound Division","PURPOSE/OBJECTIVE:  
 
Manage operations in the Boston DPS space. Provide analysis and support of the operations. 
Participate on an internal technical team with responsibility for the ongoing operational development of the Pace and DSF systems. 
Research and evaluate existing products as to their ability to meet business partner needs now and in the future and add value for the firm.  
Support reengineering and process improvement efforts to positively impact operational results.

2.MAJOR RESPONSIBILITIES: 
 
Major Responsibilities% of Time
OPERATIONAL MANAGEMENT 
Manage operations including job/machine schedule, inventory
Manage and improve workflow and process at every opportunity
Analyze labor force using timecard approval and existing reports
Manage vendors, maintenance programs and color calibration programs.
Manage plant
 
TECHNICAL MANAGEMENT
Assist internal technical team as a SME on all DPS projects including PrintFlow, Fiery Central as well as existing programs such as Digital StoreFront and Pace
Assist on technical projects for all upgrades and migrations in existing systems and from old systems to new systems
 
 
RESEARCH AND RESEARCH MANAGEMENT
Assist in researching alternative delivery models for communications
 
PROJECTS/INITIATIVES
Support specific operational long and short term initiatives as needed and required
Identify inefficient and ineffective processes in need of improvement; support efforts to re-engineer those processes
 
        Education and Experience 
Bachelor;s in Print Management
Master;s degree in Print Management considered a plus
3 years experience in commercial or inplant operational print environment preferred
Experience in technical build and understanding of database structure in a print management software program will be considered a plus ",,2/2/55,2/28/13,1
Full Time,Fulltime -  Entry Level Packaging Designer,"Entry level packaging designer in Staten Island, New York with Pratt Industries
Apply at International Corrugated Packaging Foundation's (ICPF) Career Portal Registration, Resume Posting and Direct Application to Posted Positions is free and self explanatory on the website (http://careers.icpfbox.org).

Designer: Entry Level Position Responsibilities:  Manage all local plant design activities, and collaborate with other designers across regions to better serve the design needs of our customers, both large and small  Develop or improve upon current processes for managing the integration of design efforts with the needs of sales, manufacturing, customer service and our customers  Build and maintain a library of designs for our customers  Engage with production team to develop or reengineer packaging designs that reduce manufacturing costs and increase machine throughput  Manage the condition of our design department infrastructure (cutting tables, CAD software, other support software), and the effective use of these tools to drive added value for our customers and improved efficiencies and productivity for our plant  Develop innovative box designs that are appealing to the customer and at the same time cost-effective, and structurally sound  Work with Sales, Quality Control and Production to resolve issues with non-conforming materials and/or issues in the Quality process  Be proficient in ArtiosCAD  Work closely with experienced Sales Team, including customer contact
Collaborate with our Plant & Current/Prospective Customers to:  Conduct key customer packaging audits  Review paper characteristics (strength, appearance, physical properties)  More closely integrate the Pratt Technical facilities with our plant design efforts to improve packaging performance  Brainstorm more creative ways to enhance box performance through a combination of paper technology, physical properties and innovative design.",,2/15/55,1/30/14,1
Full Time,063 ft Financial Analyst/Website Administrator,"SUMMARY

Under general direction, provides support to and assistance with development of agency website content and assist the Agency to leverage the Website for fund raising initiatives.  Provides support the Finance management regarding financial analysis.

RESPONSIBILITIES & DUTIES

1.0Manages Agency Websites
1.1Interacts with Director of Community Relations & department representatives for website content updates
1.2Develop and support on-line fundraising initiatives including capture of on-line donor information
1.3Serve as liaison for agency vendors relating to website
1.4Provide support and training to staff related to website activities not limited to:
1.4.1Training
1.4.2Webinars

2.0Manages content of agency intranet.
2.1Interact with Director of Community Relations & departments to obtain content

3.0Responsible for data compilation and analysis of agency wide financial information.

4.0Responsible for preparation of annual reports, including but not limited to NYS DSS Standard of Payment Report, reconciliation for DSS, department budget, grant, contract and contract amendments, medically supervised Ambulatory Services Cost and Visits Report, CFR, Internal Cost Report, budget package for United Way and overall agency budget and other miscellaneous reports as assigned. 

5.0Works closely with all members of the Finance Department to assure accuracy of department financial records.

6.0Performs contract vouchering for administrative contracts including member items and capital projects.

7.0Reviews accounts payable and supporting documentation for completeness; affixes approved signatures according to established policies and procedures for responsible contracts.

8.0   Assists in preparation for the annual independent audit, as required.

9.0  Analyzes, verifies, reconciles, and records accounting source data for assigned general ledger accounts.

10.0Manages fixed asset and depreciation records and reconciles to the general ledger.

11.0Prepares assigned monthly reports.

12.0Is aware of and actively supports the agency's cultural competence goals, efforts and activities.
13.0Other duties as requested by supervisor.


MINIMUM QUALIFICATIONS

EDUCATION:Bachlelors Degree with coursework in Accounting or Business Administration or equivalent combination of education and experience.

EXPERIENCE:2 years Web Administration/Accounting experience in non-profit setting.",,12/5/54,5/15/07,1
Full Time,094 ft HR Recruitment Specialist,"POSITION DESCRIPTION:
Under general supervision of the Human Resources Director, the Recruitment Specialist functions as the Human Resources Generalist for the CSD field locations including the BTOP call center operations. The Human Resources Manager will specifically be responsible for recruitment for all locations, equal employment opportunity programs and new employee orientations.

ESSENTIAL FUNCTIONS:
1. Provide general Human Resources support to CSD programs in recruitment, compensation, benefits, legal compliance, employee relations, policy consultation and other areas of Human Resources Management.
2. Provide new employee orientation for new CSD Administrative and Human Service employees. Update New Employee Orientation materials and presentation.
3. Develops recruitment and placement policies and strategies. Coordinates selection processes and develops a standardized interviewing and selection technique for the entire organization. Works with other Human Resources staff members to create strategies for recruitment. 
4. Works with recruitment sources to develop pool of applicants for CSD including university and college recruiting, master;s level recruitment and at agencies that provide job placement. Attends appropriate college and job fairs for the purpose of recruitment. 
5. May act as a interviewing resource person for candidates for division positions. Provides Targeted Selection Training for hiring managers. Develop Targeted Selection Interview Guides for hiring managers.
6. Creates job postings for CSD Administrative and Human Services positions and maintains CSD intranet and internet job postings. Collaborate with publications, newspapers and  job posting web sites to maximize our reach to potential applicants for positions at CSD. 
7. Processes Personnel Action Forms for assigned departments.
8. Acts as a liaison in representing the company in dealings with federal and state agencies supporting employment goals, and with special interest groups.","1.Bachelors; degree in Human Resources or related field and 2-5 years of experience in Human Resources recruitment or related field or a combination of education and experience. 
2.Ability to communicate effectively with Deaf and Hard of Hearing people. Must have good expressive and receptive ASL skills to communicate with targeted employee base.
3.Experience in networking with various local, state and national agencies for the purpose of recruitment. Experience in interfacing with newspapers and other publications.
4.Must be a self-starter.
5.Experience/skills in training and in making public presentations.
6. ASL skills required",1/5/55,8/2/10,1
Full Time,"New College Graduate Software Engineer, C Compilers - Microchip","This position will report directly to the Manager, Development Tools Compiler Design. This is an entry level, engineering position. This position will be for a full-time employee in a small team of engineers designing and developing C compilers for embedded microcontrollers. The compilers are command-line applications designed to run under Windows and LINUX environments and to interface with a unified debugging environment called MPLAB IDE. Infrequent public speaking is possible and usually involves teaching internal or external customers about existing products. There will be significant opportunity to do research into compiler optimizations as part of the responsibilities of this position.","Required At least one compiler design theory, preferably in C Strong C programming skills Familiarity with PC application design Willingness to learn Desired Experience with compiler optimization techniques Embedded design experience or familiarity Familiarity with any of the following tools: GCC, ANTLR, PCCTS, code-generator generators",12/5/54,3/2/07,1
Full Time,Fulltime - Human Resources Analyst,"Brown & Brown;s business model includes an Internal Operations Review Team. This position is responsible for assistance with reviewing all human resource activities throughout our 200+ locations over a 2-3 year period. Up to 75% travel will be required. Initial relocation to Syracuse, NY is required for the 2-3 year period. After successful development within the Brown & Brown business culture and execution of key job elements during this timeframe, this position would roll-out to a position in one of our many subsidiary offices or with our corporate team, either of which may require relocation within the U.S.

Primary Responsibilities:
Responsible for reviewing all human resource activities to include employment, compensation, benefits, and training and development for all existing offices.
Develop and maintain relationship with internal operating divisions.
Assist with FLSA evaluations of job positions of all existing offices.
Assist with transition of documentation of job positions and job evaluation systems for all existing offices.
Analyze and review payroll processes.
Provide advice, assistance and follow-up on company policies, procedures, and documentation.
Recommend and advise on maintenance of human resource, payroll, and benefits systems.
Recommend policy and procedural improvements for all existing offices.
Other duties as assigned.


Brown & Brown is an Equal Opportunity Employer. We take pride in the diversity of our team and seek diversity in our applicants.","Requirements - Education, Experience, and Skills:
Bachelor;s degree or equivalent in Human Resource Management or related field.
1-3 Years experience preferred
Successful completion of PHR exam (preferred)
Knowledge of employment law and other government (state and federal) compliance regulations.
Proficiency in Microsoft applications (Word, Excel and PowerPoint)
Ability to objectively coach employees through the acquisition process.
The ability to research and analyze various types of Human Resource data.
Must have the ability interpret and translate procedures, regulations and/or government law.
Ability to work independently, organize, and prioritize work effectively.",3/13/55,10/10/16,1
Full Time,102 ft Marketing / Sales - Chemical Materials,"A New York based major international manufacturer producing variety of industrial/chemical materials and instruments such as but not limited to materials for semiconductor production, thermal function filters, ceramics, lithium battery materials, high-quality chlorinated polyethylene, chloroprene for the industries of chemical, biological, medical, food, materials, electronics, energy and academic, etc. http://www.showadenko.us/en/index.html

Main Job Functions:

&#194;&#183;Responsible for both marketing development and sales activities including marketing planning, market research, visiting clients and developing market sharing of chemical material products for fuel cells, lithium batteries, cosmetics, food ingredients, ceramics, semiconductor production, and others.
&#194;&#183;Covering clients in various industries currently and potentially using chemical material products of the company for producing end products of each clients/each industries.
&#194;&#183;Some of the current and potential clients/industries are chemical, biological, food, medical, materials, electronics, energy, aerospace, research organizations, R&D and lab in universities and research organizations, etc.
&#194;&#183;Covering mainly the US and Latin American clients/markets for developing new business.
&#194;&#183;Providing technical support to clients by providing technical advices and solutions to meet their demands. Some business travels required.
&#194;&#183;Bring back the ideas and demands of clients to the product development team of the company to put those ideas into new and improved products and services. 
&#194;&#183;Occasionally attend conferences and trading shows to promote company products.
&#194;&#183;Occasionally business trip to Japan may be required to visit company;s factories and the headquarter office to discuss about company;s products development and business development.","Requirements:

&#194;&#183;More than 3 years of experience in marketing and sales is required. Experience in the field of chemical products is preferable (not required).
&#194;&#183;Knowledge and/or experience of marketing development.
&#194;&#183;Self-motivated to marketing/sales activities.
&#194;&#183;Native level English language skill is required.
&#194;&#183;Business level Spanish language skill is required.
&#194;&#183;Portuguese language skill is additionally considered (not required).
&#194;&#183;Some Japanese language skill or related experience with Japan may be preferably considered (not required).
&#194;&#183; Strong communication and presentation skill with appropriate business manner to maintain good relationship with clients and co-workers is required. Team-player is a must.
&#194;&#183;BA, BS, MA or MS degree with marketing, chemistry, biochemistry, biology, materials science, material engineering, material science, chemical engineering, electronics/electrical engineering or other related field is required.
&#194;&#183;Start in February 2011.


To apply: Email resume to fujimoto@bloomjob.com or contact Mr. Fujimoto at 212-512-0575, Bloom Consulting, an executive search firm that is the HR representative of Showa Denko America Inc.",1/13/55,12/15/10,1
Full Time,Fulltime - ARD Quality Analyst I,"Note: Contact listed on this posting is for inquiries only. To be considered for a position, you must complete an application online. Please visit www.excellusbcbs.com/careers Under the guidance of the Manager, Analysis and Recovery, and in accordance with sound and ethical procedures, objectives and controls, the Quality Analyst is responsible for planning, organizing, and performing audit assignments, internal reporting, and follow-up on specific audit assignments. Audits and analyzes claims for recovery efforts, both internal and vendor identification, to validate appropriate billing and payment of our member;s health benefits in accordance with: Contract terms, nationally accepted coding standards and governmental regulations. The analysts also assist with the performance of Cost Avoidance reviews as requested. Essential Responsibilities/Accountabilities: Quality Analyst I:  Performs recovery audits, both internal and vendor identification; by reviewing claim payments to validate appropriate billing and payment of our member;s health benefits in accordance with: Contract terms, member and provider, internal processing guidelines, nationally accepted coding standards and government regulations.  Audits, evaluates and researches compliance with corporate contracts; provider and member, internal processing guidelines, regulatory mandates and corporate policies, through contact with appropriate parties to obtain pertinent information.  Facilitates the set up of audits  As appropriate, notifies the provider of audit findings giving them the opportunity to appeal within a designated time frame.  Submits adjustments to the appropriate department to accurately reflect the services rendered and/or reimbursement.  Works collaboratively with other departments to ensure the appropriate payment of claims  Acts as an information resource to the organization, conduct and participate in cross-training programs.  Remains current with relevant legislative and regulatory mandates to ensure activities are in compliance with these requirements. Also, be aware of all local, regulatory, operational, and national policy changes.  Adheres to and meet established deadlines as required by management.  Creates intra-departmental reporting consisting of data input to document monthly work.  Proposes recommendations for system enhancements, workflow modifications, processing guidelines, system documentation and/or training documentation.  Consistently demonstrates high standards of integrity by supporting the Lifetime Healthcare Companies; mission and values and adhering to the Corporate Code of Conduct.  Maintains high regard for member privacy in accordance with the corporate privacy policies and procedures.  Regular and reliable attendance is required.  Perform other functions as assigned by management. Quality Analyst II: Performs similar functions as the Quality Analyst l, and can be differentiated by the following:  Assists with the training of the Quality Analyst I staff.  Analyzes data, identify trends, and make recommendations in regards to proposed audits  Performs consulting duties that improve operational effectiveness and assist in the development or modification of processing guidelines, workflow modification, system enhancements and system documentation to improve operational reliability and efficiency.  Conducts special projects in the areas of data collection and analysis at the request of management. Quality Analyst III: Performs similar functions as the Quality Analyst l & II and can be differentiated by the following:  Provides direction and team leadership in the absence of Quality Analyst Manager/Supervisor or Lead Quality Analyst.  Coordinates special projects and/or audits for cross-regional functions across all Health Plan regions.  Acts as the lead on data collection and analysis as directed by Management.  Prepares and have the capacity to make presentations as requested or deemed necessary by department management.","Quality Analyst I:  Bachelor Degree with proficiency in mathematics/statistics or related field and a minimum of 3 years progressive experience within the corporation or related field. In lieu of degree, a minimum of 11 years progressive experience within the corporation or related field.  Must have the ability to complete thorough research, exercise good judgement and work independently.  Must have a working knowledge of PC;s and Microsoft Office applications.  Must possess effective verbal and written communication skills.  Must have good, demonstrated interpersonal relations skills. Quality Analyst II: All Quality Analyst I qualifications, plus:  Minimum 5 years progressive experience within the corporation or related field.  Minimum of 2 years of experience conducting quality analytics.  Thorough knowledge of all lines of business, policies and procedures.  Must have advanced skills of PC;s and Microsoft Office applications.  Strong and effective analytical skills are required, along with the capacity to identify and understand business objectives.  The ability to perform sound data analysis and problem-solving skills that include making recommendations to change or improve operational processes. Quality Analyst III: All Quality Analyst I & II qualifications, plus:  Minimum 7 years progressive experience within the corporation or related field.  Minimum of 4 years of experience conducting quality analytics.  Professional certification as a CPC, CIA, CQA or other Certifications (i.e. PAHM, FAHM, etc.) is preferred.  Must have advanced skills of PC;s and Microsoft Office applications, including MS Power Point  Must possess leadership skills as well as the ability to effectively manage people and multiple projects.  A demonstrated aptitude and interest in supervision.  Relies on extensive experience and judgment to coordinate, plan and perform daily analysis work. Physical Description: In support of the Americans with Disabilities Act, this job description lists only those responsibilities and qualifications deemed essential to the position. Equal Opportunity Employer",2/18/55,8/19/14,0
Full Time,Entry Level Software Engineer-General Dynamics C4 Systems-F/T,"General Dynamics C4 Systems designs, develops, and integrates highly sophisticated command, control, and communications systems for the U.S. military, federal agencies, civil governments and related international customers. These state-of-the-art systems combine advanced imagery software and multi-sensor integration to provide real-time situational awareness to tactical decision makers. Our systems transform large amounts of complex data into useful information that is clearly and intuitively presented to the operators, enabling commanders make informed decisions in real-time. We build systems for a wide range of global missions including wartime battlefield management, crisis management, peace keeping and contingency operations, drug intervention, and public safety.

Multiple openings for entry-level Software Engineers responsible for the development of software and systems products in a UNIX, Linux and/or Windows-based workstation environment. Desired skills include object-oriented software development, C#/C/C++/Java software language proficiency, Web Services and design of systems utilizing real-time, distributed microprocessor or DSP-based processing. Candidates will be involved in all phases of the development process including but not limited to: requirements analysis, design, code and unit test, integration and systems test, and design support activities.","BS or MS in CSE/CS/CE. Experience with software programming languages such as C#/C/C++ /Java is desired but not mandatory. Experience with Web Services, UNIX, Linux, and/or Windows and/or real time OS desired but not mandatory. Strong interpersonal communication skills, problem solving skills as well as the ability to work in a small team environment are desired. Some travel may be required. All applicants must be capable of obtaining a US Security Clearance.

Applicant must be capable of obtaining a US Security Clearance. 

Applicant must be a US Citizen.",12/13/54,9/5/07,1
Full Time,103 ft Mechanical Engineer,"The Dennis Group is currently seeking Engineers for the position of Mechanical Engineer.  Headquartered in Springfield, Massachusetts, with offices in for the Solana Beach, CA and the Salt Lake City, UT; The Dennis Group is a national engineering firm which offers complete planning, process engineering, facility development, and construction management services exclusively to the food and beverage industries.

Preferred candidates should have a fundamental understanding of building energy load calculations, HVAC systems, and fluid flow.  Skills should also include problem analysis and solution: including the problem statement, data gathering, the actual calculation, and the summary/recommendation.  

Mechanical Engineers would be expected to accomplish the following tasks:
 Review heating/cooling loads
Perform code review for plumbing & HVAC systems
 Perform envelope & energy calculations
 Perform drainage & line loss calculations
 Size and Specify HVAC & plumbing equipment
Requirements: 
Proficiency with MS Office (Excel, Word, Access); MS Project, AutoCAD
Strong technical writing skills
Preferred 3+ years of experience and/or internship(s) in an industrial manufacturing setting
Minimum of a Bachelors; degree required 

Mechanical Engineering graduates with an EIT are a plus.

Successful candidates will be professional, self-motivated, energetic and enthusiastic with excellent communication and inter-personal skills. 

The Dennis Group is not accepting applications from candidates who will require visa sponsorship.  Only candidates who are U.S. Citizens, lawful residents, or are otherwise authorized to work in the US without employer sponsorship will be considered.

Please submit Resume, Cover Letter and Unofficial Transcripts to CollegeRecruiting@dennisgrp.com. Please reference RIT018 when Applying.",,1/14/55,4/12/11,1
Full Time,104 ft Software Engineer II,"Job Purpose:
Responsible for designing, developing and maintaining Element K web site products by writing hi/low level design documents, generating code, unit testing features and adhering to coding and architectural standards.  Supports the software development life cycle by working with project leaders to establish and tune the applications and architecture, delivering estimates, communicating project status to project manager and working with quality assurance to fix defects and implement change control requests as quickly as possible.  Continually expands on technical capabilities.

Job Responsibilities:
&#194;&#183;Conduct full range of software development tasks including design, implementation, unit testing, debugging and documentation for development initiatives, change control requests and defect correction.
&#194;&#183;Provide technical input and direction for enhancements and upgrades to existing functionality used on the site
&#194;&#183;Work closely with project leaders to implement new features and functionality.

Key Challenges:
&#194;&#183;Conduct a full range of web programming tasks including design, implementation, testing, debugging, and documentation
&#194;&#183;Scope and define new features for tools, utilities, databases, and product upgrades.
&#194;&#183;Provide technical input and direction for product development efforts, specifically regarding web capabilities and appropriate web implementations.
&#194;&#183;Participate in product design decisions, and work with others to implement those decisions. Generate clear and concise design documentation.
&#194;&#183;Assist in the development and review of supporting product documentation and users manuals.
&#194;&#183;Assist in the development and review of test plans for product testing.
&#194;&#183;Stay technically current through reading of periodicals, internal training, and external education.

Knowledge & Skills:
&#194;&#183;Advanced knowledge of software engineering principles and practices
&#194;&#183;Advanced skills in standard design patterns and software programming languages
&#194;&#183;Intermediate skills in SQL and database concepts
&#194;&#183;Intermediate skill in project management principles and practices
&#194;&#183;Advanced communication skills
&#194;&#183;Self directed - requires minimal oversight
&#194;&#183;Advanced leadership skills

Education & Experience:
&#194;&#183;This position requires a BS in Computer Engineering, Software Engineering or Computer Science, or equivalent, applicable experience.
&#194;&#183;Training and experience in Objected-Oriented Design and Analysis, programming, and software testing preferred.
&#194;&#183;3+ years of web development and/or web management experience required
&#194;&#183;Experience in a wide variety of technologies including, but not limited to: UNIX, Java, J2EE, Oracle, SQL Server, Visual Basic, HTML, JavaScript, VBScript, ASP.NET, .NET, C#.


Other:
&#194;&#183;Excellent communication skills
&#194;&#183;Ability to express thoughts and ideas clearly
&#194;&#183;Ability to take and provide creative criticism daily
&#194;&#183;Ability to take direction from Manager when it is given
&#194;&#183;Ability to work effectively with multiple departments in the Internet Technology division
&#194;&#183;Ability to participate in a team environment
&#194;&#183;Perform keyboard and pointing device intensive work 80% of the time.
&#194;&#183;Read text displayed on a computer screen 80% of the time.
&#194;&#183;Travel as required.
&#194;&#183;Read and respond to email and voicemail daily.
&#194;&#183;Read company electronic news and information daily.
Element K is an Equal Opportunity Employer.",,1/15/55,6/6/11,1
Full Time,Teaching Opportunities,"Uncommon Schools
Teaching Opportunities 

Elementary, Middle & High School Teachers
Special Education Team
Specials: Art, Music, Dance, & PE Teachers
Apprentice Teacher

Boston, MA
Brooklyn, NY
Newark, NJ
Rochester, NY
Troy, NY

Uncommon Schools starts and manages outstanding urban charter public schools that close the achievement gap and prepare low-income students to graduate from college.

ROLE
Teachers hold primary responsibility for the implementation and development of Uncommons curriculum and the success of its students. Uncommon is hiring teachers in grades K-12, across content areas, for the 2012-13 school year. 

SPECIFIC RESPONSIBILITIES
Implement curricula and activities to meet academic standards;
Design and implement assessments that measure progress towards academic standards;
Use assessment data to refine curriculum and inform instructional practices;
Participate in collaborative curriculum development, grade-level activities, and school-wide functions;
Provide consistent rewards and/or consequences for student behavior;
Be accountable for students mastery of academic standards;
Communicate effectively with students, families, and colleagues;
Participate in an annual three-week staff orientation and training;  

Valid State Certification is helpful but not required. Belief in and alignment with Uncommons core beliefs and educational philosophy is non-negotiable.

COMPENSATION
We offer a competitive compensation package, including a salary significantly above the district scale and comprehensive health benefits. Aside from extensive professional development, all our teachers are equipped with a laptop computer, email, high-speed internet access, and all necessary instructional supplies.","QUALIFICATIONS
Drive to improve the minds and lives of students in and out of the classroom;
Proven track-record of high achievement in the classroom;
Mastery of and enthusiasm for academic subjects;
Evidence of self-motivation and willingness to be a team player;
Bachelors degree is required; Masters degree is preferred; and
Two years (preferred) teaching experience in an urban public school or charter school setting.",1/24/55,4/24/12,1
Full Time,Internship Sales-Liz Claiborne-F/T,"Overview:  
 Overview of the i experience internship program

The 2008 paid summer internship program, the i experience, is designed to identify, develop and hire top entry level talent. Throughout the 10-week full-time project based program, participants work closely with their managers to understand and impact their specific functions and divisions. Additionally, interns are exposed to various areas of the company through weekly interaction with key executives and networking events.

The internship program is highly competitive and a large volume of resumes will be received. If you are selected for an interview you will be contacted via phone or e-mail. Please review the overview and qualifications listed below.

  
 Responsibilities:  
 The sales department prepares and analyzes weekly selling reports including: open to buy, retail updates, item selling, branch and regional sales and stock rations, shipping and purchase order and disseminates them to the business. They also work on various projects ranging from weekly business recaps and analyzing style selling information and incorporating results into door planning process.","Can do team player attitude 
Strong sense of urgency and attention to detail;
Self motivated; ability to take initiative to complete tasks quickly and independently.
Microsoft Office 

Minimum Qualifications:
Currently enrolled in an accredited college/university
You must be a rising junior, rising senior or recent graduate
Minimum 3.0 GPA 
Past retail or fashion industry experience is preferred but not required",12/13/54,8/31/07,0
Full Time,Fulltime -Web Operations Engineer,"Next Jump is looking for talented engineers to join our site operations team. This team operates the Next Jump;s Network Operations Center and Datacenters and is responsible for ensuring uptime across all of Next Jump's websites.
 
Job Description
Qualified individuals will enjoy working in highly technical environments, with a hands-on approach. Candidates should possess a mix of skills in Linux, Windows, and Network Administration. You will be part of a team directly responsible for Next Jump's uptime along with end-to-end performance and reliability of Next Jump's user-facing services. Web operations strives for stability by continuously enhancing the monitoring and response infrastructure and serve as a hub for all other technical and development operations teams. In this highly visible role, you will be responsible for ensuring that users can always reach and use all of the services under your team's care. You;ll be working with Automation & Operations team that overlooks all the web operations.
 
Responsibilities
&#194;&#183;         Ensure 24x7 stability/uptime, resolve service impacts and handle client requests in a fast-paced environment
Ensure compliance of systems through various tasks and remediation
Ensure that security policies are implemented through the use of network and OS level security
Setup, configure and maintain network & systems infrastructure
Work closely with the applications developers to configure, manage and implement various physical and virtual application environments
Assist in researching and implementing new technologies to improve existing environments and be proactive in problem mitigation
Act as both an external and internal facing point of contact to facilitate handling of problem reports and escalate technical issues and communicate network status
Maintain, monitor and implement the security infrastructure","Requirements
&#194;&#183;         BS/MS degree in Information Systems, Computer Science, Networking & Systems Administration, Telecom/Network Management, or related field
&#194;&#183;         Familiarity with Linux system administration
&#194;&#183;         Solid understanding of IP networking
&#194;&#183;         Solid scripting skills in Shell, PHP, Perl, Ruby or Python
&#194;&#183;         SQL, PHP or GO knowledge a plus
&#194;&#183;         Experience with Configuration Management tools (Chef/ Puppet) a plus
&#194;&#183;         Experience with monitoring tools (Nagios, Ganglia, Graphite) a plus
&#194;&#183;         Technical troubleshooting and performance tuning knowledge a plus
&#194;&#183;         Knowledge of Windows server 2003 & 2008 and VMware in a SAN/WAN/LAN environment is a plus
Cisco, VMware, Red Hat, Dell, and/or Microsoft certifications are a plus",2/25/55,1/16/15,1
Full Time,Teach English in China - While Earning MA in International Studi,"Concordia University, located in Southern California, is offering a Master of Arts in International Studies (MAIS) degree with concentrations in International Business and International Education alongside a 10 or 12-month teaching contract in the Peoples Republic of China.

www.cui.edu/mais

This unique program offers you the opportunity to:

Study, research and gain first-hand experience in the political, economic, cultural and social life of contemporary China.
Explore the strategic opportunities in one of the worlds largest and fastest growing economies.
Develop meaningful relationships with Chinese business leaders, educators, professionals and community members.
Influence and impact the lives of a generation of young people in China.
Acquire practical knowledge of educational and business contexts and practices, providers and clients, products and services, strategies and obstacles.
Receive a graduate education with a year-long teaching contract in China that prepares you for the future of international business and education.


JOB BENEFITS
Candidates are provided the following benefits from their employer in China: 

1.Monthly salary (dependent upon qualifications and placement)
2.Housing or housing allowance
3.Legal work visa in China
4.Reimbursement of your round-trip economy class air ticket between the U.S. and China (requires successful completion of year-long internship)

DEADLINES

Application Deadline: March 1, 2011","Candidates for the MAIS program must have completion of a bachelors degree with a minimum 2.75 G.P.A.; be a native English speaker; and possess the following characteristics: cultural sensitivity, responsibility, diligence, resilience, independence, ethical character, desire to teach, and ready to learn, serve and lead",1/13/55,1/30/11,0
Full Time,Inside Sales/Technical Recruiter - TEKsystems Corporate - Full T,"Company Description:
TEKsystems?, Inc. is a leading provider of strategic staffing and managed services for the Information Technology and Communications (IT&C) community. Ranked number one in the industry by IT Services Business Report and as the nation?s largest IT staffing firm, we leverage our core competencies to offer a wide array of IT services including deployment; support; and Engineering, Furnishing and Installation (EF&I) telecommunications services.

Summary of Responsibilities: 
Reporting to the Account Manager, the Recruiter is responsible for all steps associated with the identification, placement and management of contingent employees. The ability to develop strong communication channels with internal and external clients is crucial to business success. To achieve this, the incumbent must provide ?World Class Service? to contract employees and clients by earning their respect, acting with the greatest amount of professionalism and expressing the highest sense of urgency. 

Essential Functions: 
As a recruiter you are responsible for placing qualified candidates at our client sites. This entails the following:

Identification Process: 
- Utilize internal database to identify potential candidates
- Place job requirements on the Internet to increase available candidate pool
- Develop creative recruiting resources to attract qualified professionals interested in contract, contract to hire and direct placement employment
- Identify networking activities such as attending career fairs, professional association meetings, calling on technical schools and outplacement services

Hiring Process:
- Responsible for screening candidates to ensure their qualifications meet open positions 
- Conduct skills testing, office interviews, reference checks and background investigations
- Present job opportunities to qualified candidates and negotiate contract terms
- Maintain excellent documentation with the company?s on-line system as well as hard files within the Branch Office

Management Process:
- Prepare resumes for presentation to clients
- Coach candidates through the client interview process
- Meet contractors on the first day of their assignment at the client site
- Build relationships with contract employees through different activities including weekly lunch meetings","Educational & Experience Requirements:
- Bachelors degree in Business Administration, Marketing or related field 
- 1+ years professional/internship experience in sales, recruiting, marketing or customer service environment
- PC literate in Windows environment including, MS Word, Netscape and Internet
- Excellent written and oral communication skills
- Strong problem solving abilities
Benefits:
You will receive a competitive base salary, commission, and an exceptional benefits package including a 401(k) company matched retirement savings plan, parental leave and vacation, personal & holiday pay. TEKsystems also offers the following employee benefits: medical, dental, prescription, vision, life & accident insurance, short & long-term disability coverage, and a life-balance referral and counseling service program!",12/6/54,7/11/07,1
